ProjectName,NumberOfFilesAnalyized,LineOfCodeAnalyized,Events,Trace,TotalLineOfCode,TotalNumberOfFiles,PrecentageOfLinesAnalyized,PrecentageOfFilesAnalyized,MostLikelyHypothesis,LessLikelyHypothesis,totalAnalysisTime,recordingTime
/tenBugsMix/bug-1/,5,193,109,5974,313,10,62%,50%,1,2,9.666 s,5.546 s
/tenBugsMix/bug-2/,4,158,37,4743,309,10,51%,40%,1,2,8.308 s,5.653 s
/tenBugsMix/bug-3/,1,166,10,598,4694,25,4%,4%,1,2,6.005 s,3.019 s
/tenBugsMix/bug-4/,5,208,72,1577,328,10,63%,50%,1,4,7.679 s,3.848 s
/tenBugsMix/bug-5/,34,16060,9,1001,130103,418,12%,8%,1,2,9.4 s,2.844 s
/tenBugsMix/bug-6/,5,197,102,6109,317,10,62%,50%,1,3,9.425 s,6.67 s
/tenBugsMix/bug-7/,1,88,30,2323,156,5,56%,20%,1,3,7.66 s,4.632 s
/tenBugsMix/bug-9/,2,106,11,708,14008,45,1%,4%,1,5,5.991 s,2.915 s
/tenBugsMix/bug-10/,1,74,11,1421,14008,45,1%,2%,1,4,7.905 s,2.813 s
/tenBugsMix/bug-8/,1,102,12,528,108,2,94%,50%,1,4,6.031 s,2.984 s
